title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Chocolate Turtle Cookies,Julie Clark,4.59, 17 ,15 minutes,10 minutes,25 minutes,24,16,1 cup salted butter room temperature 8 ounces,3/4 cup granulated sugar 150 grams,3/4 cup brown sugar 150 grams,2 large eggs,2 teaspoons vanilla extract 10 grams,2 cups all-purpose flour 260 grams,2/3 cup unsweetened cocoa powder* 65 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/double-chocolate-turtle-cookies/,3/4 teaspoon baking soda 5 grams,1/4 teaspoon salt 2 grams,1 cup mini chocolate chips**,½ cup chopped pecans,½ cup caramel bits 100 grams▢For topping:,12 Kraft caramel squares cut in half,2/3 cup Ghirardelli melting wafers,1/4 cup chopped pecans,sea salt for sprinkling optional,NA,NA,NA,NA,NA,NA,NA,NA
Soft Peanut Butter Cookies,Julie Clark,4.49, 37 ,15 minutes,10 minutes,25 minutes,30,9,1 cup salted butter room temperature 8 ounces,1 cup creamy peanut butter 270 grams,1 1/2 cups packed brown sugar 300 grams,1 teaspoon vanilla extract 5 grams,3 large eggs,3 cups all-purpose flour 390 grams,1 1/2 teaspoons baking soda 7 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/bakery-style-soft-peanut-butter-cookies-recipe/,1/4 teaspoon salt,1/4 cup granulated sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potato Chip Cookies,Julie Clark,4.65, 405 ,15 minutes,11 minutes,26 minutes,36,10,1 cup unsalted butter 8 ounces room temperature,1 cup brown sugar 200 grams,1 cup granulated sugar 200 grams,2 large eggs,1 teaspoon vanilla extract 5 grams,2 1/2 cups all-purpose flour 325 grams,1 teaspoon baking soda 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/potato-chip-cookies/,1/2 teaspoon salt 3 grams,2 cups coarsely crushed potato chips 113 grams (4 ounces),2 cups chocolate chips 340 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cookies,Julie Clark,4.70, 96 ,15 minutes,10 minutes,25 minutes,20,11,3/4 cup creamy peanut butter 212 grams,"1/2 cup salted butter 4 ounces, room temperature",1 cup packed dark brown sugar 200 grams,1/2 teaspoon baking soda 3 grams,1/2 teaspoon baking powder 2 grams,1 large egg,1 1/2 teaspoons vanilla extract 6 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/reeses-overloaded-peanut-butter-cookies-2/,1 1/4 cup all-purpose flour 163 grams,2 cups quartered miniature Reese’s peanut butter cups 295 grams,1/2 cup mini chocolate chips 86 grams,"1/3 cup chocolate chips for drizzling, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakery Style Sugar Cookies,Julie Clark,4.68, 61 ,15 minutes,10 minutes,25 minutes,18,12,2 3/4 cups all purpose flour 358 grams,1 teaspoon baking soda 6 grams,1/2 teaspoon baking powder 2 grams,1/2 teaspoon salt 4 grams,"1 cup European style salted butter 8 ounces, room temperature",1 1/2 cups white granulated sugar 300 grams,1 large egg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/bakery-style-sugar-cookies-recipe/,3/4 teaspoon LorAnn Princess Cake & Cookie Bakery Emulsion,1/2 tablespoon lemon juice 7 grams,1/4 cup heavy cream,3/4 teaspoon white vinegar,Extra sugar for sprinkling on top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Dough Brownie Cookies,Julie Clark,4.58, 14 ,15 minutes,12 minutes,27 minutes,24,13,Cookie Dough:,1 1/4 cups all-purpose flour 163 grams,1/2 cup salted butter* room temperature (4 ounces),1/2 cup brown sugar 106 grams,1/4 cup granulated sugar 50 grams,2 tablespoons 2% milk 35 grams,1 teaspoon vanilla extract 4 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cookie-dough-brownie-cookies/,1/2 cup mini chocolate chips 87 grams▢Brownie Cookies:,1 box dry fudge brownie mix** (18.3 ounces or family size),1/4 cup salted butter melted (2 ounces),4 ounces cream cheese softened,1 large egg▢Chocolate Topping:,6 ounces semi-sweet chocolate chips (or chocolate melting wafers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Cherry Cookies,Julie Clark,4.62, 13 ,25 minutes,10 minutes,35 minutes,48,13,1/2 cup salted butter room temperature,1 cup granulated sugar,1 large egg,1 1/2 teaspoons vanilla extract,1 1/2 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-covered-cherry-cookies/,1/4 teaspoon baking powder,1/4 teaspoon baking soda,48 maraschino cherries blotted dry (reserve 2-3 teaspoons of the juice)▢Chocolate Frosting:,1 cup semisweet chocolate chips,1/2 cup sweetened condensed milk,2-3 teaspoons maraschino cherry juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Sugar Cookie Bars,Julie Clark,4.53, 21 ,10 minutes,30 minutes,NA,25,9,3/4 cup salted butter room temperature (6 ounces),1 cup granulated sugar 200 grams,2 large eggs,1 teaspoon vanilla extract 5 grams,2 1/2 cups all-purpose flour 325 grams,3/4 teaspoon salt 6 grams,½ teaspoon baking soda 3 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/mm-sugar-cookie-bars/,1 1/4 cups mini M&Ms about 9 ounces,vanilla frosting optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Brownie Cookies,Julie Clark,4.67, 6 ,30 minutes,12 minutes,42 minutes,24,11,For the cookies:,1 box Pillsbury chocolate fudge brownie mix 19.5 ounces or family size*,1/4 cup salted butter melted,4 ounces cream cheese softened,1 large egg▢For the peppermint filling:,7 ounces sweetened condensed milk ½ can,2 3/4 cups powdered sugar 343 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peppermint-patty-brownie-cookies/,1/2 tablespoon peppermint extract▢For the chocolate topping:,4 ounces semi-sweet or dark chocolate chips▢Optional:,food coloring for peppermint filling red or green,peppermint candies for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fudgy Brownie Cookies,Julie Clark,4.64, 11 ,20 minutes,10 minutes,NA,12,11,11 ounces high quality dark chocolate (bittersweet)* 300 grams,¼ cup unsalted butter 60 grams,½ cup all-purpose flour 65 grams,¼ teaspoon baking powder,a pinch of salt,⅛ cup cocoa powder 15 grams,1 teaspoon espresso powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/fudgy-brownie-cookies/,2 large eggs,½ cup granulated sugar 100 grams,¼ cup brown sugar 50 grams,flaky salt for garnish if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grandma’s Christmas Cookies,Julie Clark,4.84, 12 ,30 minutes,9 minutes,39 minutes,48,13,For the cookies:,1 cup shortening 205 grams,1 cup granulated sugar 200 grams,1/2 cup brown sugar 110 grams,1 cup buttermilk 8 ounces,1 teaspoon pure vanilla extract * 5 grams,1 large egg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/grandmas-christmas-sugar-cookies/,4 3/4 cups all-purpose flour (spooned and leveled) 618 grams,2 teaspoons aluminum free baking powder 10 grams,1 teaspoon baking soda 5 grams,1/2 teaspoon salt 3 grams▢For topping:,vanilla buttercream,sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Haystack Cookies,Julie Clark,4.84, 6 ,10 minutes,NA,NA,30,5,1 ½ cups butterscotch chips,1 cup creamy peanut butter,12 ounces crispy chow mein noodles,½ cup cocktail peanuts,sprinkles of your choice,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/no-bake-haystack-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye No Bake Cookies,Julie Clark,4.67, 3 ,25 minutes,5 minutes,NA,24,13,For the buckeye:,1 cup creamy peanut butter 240 grams,1 cup powdered sugar 120 grams▢For the no bake cookies:,½ cup salted butter 4 ounces,½ cup whole milk,1 cup light brown sugar 200 grams,1 cup granulated sugar 201 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/buckeye-no-bake-cookies/,¼ cup cocoa powder 20 grams,¾ cup creamy peanut butter 180 grams,2 teaspoons vanilla extract,3 cups instant oats 290 grams,3 1/2 ounces high quality dark chocolate cut into chunks▢For the chocolate topping:,10 ounces Ghirardelli Dark or milk chocolate melting wafers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cowboy Cookies,Julie Clark,4.57, 46 ,10 minutes,14 minutes,NA,36,15,1 cup salted butter room temperature,1 cup packed brown sugar 220 grams,1 cup granulated sugar 200 grams,2 large eggs room temperature,2 teaspoons vanilla extract,2 cups all purpose flour 260 grams,½ teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cowboy-cookies/,½ teaspoon baking powder,3 cups rolled oats (not quick oats) (270 grams),1 cup milk chocolate chips 174 grams,2 cups semi-sweet chocolate chunks,½ cup shredded coconut unsweetened,½ cup chopped pecans,Extra chocolate chips or chunks for topping,Flaked sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitchen Sink Cookies,Julie Clark,4.75, 16 ,15 minutes,10 minutes,NA,24,14,8 ounces unsalted butter room temperature (227 grams),½ cup packed light brown sugar 117 grams,½ cup granulated sugar 104 grams,1 large egg room temperature,2 teaspoons pure vanilla extract,2 ¼ cups all-purpose flour 293 grams,1 teaspoon baking powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/kitchen-sink-cookies/,1 teaspoon baking soda,1/4 teaspoon salt (I used table salt),½ cup milk chocolate chips plus more for topping if desired,½ cup butterscotch chips plus more for topping if desired,½ cup crushed plain potato chips plus more for topping if desired,½ cup crushed pretzels plus more for topping if desired,Flake sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chick-Fil-A Cookie Recipe,Julie Clark,4.64, 376 ,15 minutes,12 minutes,27 minutes,20,15,2 1/2 cups all-purpose flour 325 grams,3/4 cup quick oats (60 grams),1 teaspoon baking powder 5 grams,1/2 teaspoon baking soda 3 grams,1/4 teaspoon salt 1 gram,1 1/3 cups dark brown sugar 263 grams,1/3 cup granulated sugar 69 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/copycat-chick-fil-a-cookies/,1/2 cup vegetable shortening 4 ounces,"1/2 cup salted butter room temperature, 4 ounces",3 tablespoons honey 63 grams,2 teaspoons vanilla extract 10 grams,2 large eggs room temperature,1 1/2 cups semi-sweet chocolate chips or dark chocolate chips,1/2 cup milk chocolate chips,1 cup semi-sweet chocolate chunks divided,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church Window Cookies,Julie Clark,5, 3 ,20 minutes,NA,NA,48,7,½ cup salted butter,2 cups semi-sweet chocolate chips,1 teaspoon vanilla extract,1 cup finely chopped walnuts,10 ounces colored miniature marshmallows 1 bag,2 cups shredded sweetened coconut,wax paper,Tastes of Lizzy T,https://www.tastesoflizzyt.com/church-window-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toll House Cookie Recipe,Julie Clark,4.59, 87 ,15 minutes,10 minutes,55 minutes,28,11,½ cup salted butter room temperature,½ cup shortening,3/4 cup granulated sugar,3/4 cup packed brown sugar,1 teaspoon vanilla extract,2 large eggs room temperature,2 1/4 cups all-purpose flour,Tastes of Lizzy T,https://www.tastesoflizzyt.com/our-favorite-toll-house-cookie-recipe/,1 teaspoon baking soda,1 teaspoon salt,2 cups semi-sweet chocolate chips,1 cup mini chocolate chips divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Rice Krispie Treats,Julie Clark,4.75, 8 ,5 minutes,5 minutes,NA,15,5,10 ounces large marshmallows,6 tablespoons salted butter,1 teaspoon vanilla,2 cups mini marshmallows,6 cups rice krispies cereal,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/the-best-rice-krispie-treats/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Cinnamon Roll Cookies,Julie Clark,4.43, 26 ,25 minutes,10 minutes,35 minutes,26,20,For the cookies:,"1/2 cup buttermilk divided, 4 ounces",1/2 teaspoon baking soda 3 grams,"1/2 cup salted butter softened, 4 ounces",1 cup granulated sugar 200 grams,2 large eggs divided,1/4 teaspoon salt 1 gram,Tastes of Lizzy T,https://www.tastesoflizzyt.com/soft-cinnamon-roll-cookies/,1/2 teaspoon vanilla extract 3 grams,3 cups all-purpose flour 390 grams,1/2 tablespoon baking powder▢For the Filling:,egg white (use the white left from mixing the dough),2 tablespoons sugar,1 tablespoon ground cinnamon▢Powdered Sugar Glaze Option:,1 1/2 cups powdered sugar,4 tablespoons heavy cream,1/2 teaspoon vanilla extract▢Cream Cheese Frosting Option:,4 ounces salted butter room temperature,4 ounces cream cheese room temperature,8 ounces powdered sugar about 2 cups,½ teaspoon vanilla extract,NA,NA,NA,NA
Chocolate Chip Butterscotch Cookie Bars,Julie Clark,4.60, 5 ,10 minutes,35 minutes,45 minutes,12,8,2 cups all-purpose flour,1/2 teaspoon baking soda,1 cup packed dark brown sugar,1 cup salted butter very soft (almost melted),1 large egg,2 teaspoons vanilla extract,1 cup chopped pecans,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-chip-butterscotch-cookie-bars-recipe/,1 1/2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Potato Chip Cookies,Julie Clark,4.63, 27 ,10 minutes,15 minutes,25 minutes,36,10,1 cup unsalted butter 8 ounces -room temperature,3/4 cup granulated sugar 150 grams,1 cup brown sugar 200 grams,2 large eggs,2 1/2 cups all-purpose flour 325 grams,1 teaspoon baking soda 5 grams,1/2 teaspoon salt 3 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/butterscotch-potato-chip-cookies/,1 teaspoon vanilla extract 5 grams,2 cups butterscotch chips 340 grams (plus an extra ½ cup for pressing into the top of the cookie balls),2 cups crushed potato chips 4 ounces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 Layer Bars,Julie Clark,4.75, 12 ,10 minutes,25 minutes,NA,15,7,1/2 cup butter 1 stick,"2 1/2 cups graham cracker crumbs finely ground, do not pack into the cup",1 cup semi-sweet chocolate chips,1 cup butterscotch chips,1 cup shredded coconut,1 cup chopped pecans,14 ounces sweetened condensed milk,Tastes of Lizzy T,https://www.tastesoflizzyt.com/7-layer-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucky Charms Marshmallow Treats,Julie Clark,5, 4 ,5 minutes,10 minutes,NA,12,4,6 tablespoons salted butter (plus more for pan),16 ounces miniature marshmallows (8 ½ cups),1 teaspoon vanilla extract,9 cups Lucky Charms cereal,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/lucky-charms-marshmallow-treats/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Patty Cookies,Julie Clark,4.68, 46 ,15 minutes,12 minutes,27 minutes,16,6,1 package Duncan Hines dark chocolate fudge cake mix (15.25 ounces),1 large egg,4 ounces cream cheese (softened),1/4 cup salted butter softened (almost melted),16 snack size York Peppermint Patties,sprinkles optional,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peppermint-patty-stuffed-chocolate-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Make Pudding Cookies,Julie Clark,4.67, 6 ,10 minutes,12 minutes,NA,24,9,1 cup salted butter (room temperature),3/4 cup brown sugar,1/4 cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour (293 grams),3.4 ounces instant pudding mix (any flavor),Tastes of Lizzy T,https://www.tastesoflizzyt.com/how-to-make-pudding-cookies/,1 teaspoon baking soda (6 grams),2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hershey Brown Sugar Shortbread Bars,Julie Clark,4.63, 62 ,10 minutes,17 minutes,NA,20,7,1 cup salted butter (room temperature),1 cup packed brown sugar (235 grams),1 large egg,1 teaspoon vanilla extract,2 cups all-purpose flour (260 grams),1/4 teaspoon salt,10-12 full size Hershey bars,Tastes of Lizzy T,https://www.tastesoflizzyt.com/hershey-brown-sugar-shortbread-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookies Recipe,Julie Clark,4.67, 211 ,10 minutes,10 minutes,20 minutes,24,13,1 cup salted butter,1 cup light brown sugar*,1 large egg,1 tablespoon heavy cream**,1 1/2 teaspoons vanilla extract,2 1/2 cups all-purpose flour***,1/2 tablespoon cornstarch,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-chocolate-chip-cookies/,1 teaspoon baking soda,1/4 teaspoon salt****,1 cup dark chocolate chips,1 cup semi-sweet chocolate chips▢Optional Toppings:,1/3 cup semi-sweet chocolate chips,sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo Bars Recipe,Julie Clark,4.69, 103 ,10 minutes,25 minutes,35 minutes,20,8,3/4 cup salted butter 6 ounces,2 1/4 cup brown sugar 470 grams,3 large eggs (room temperature),2 3/4 cup all-purpose flour 358 grams,2 1/2 teaspoons baking powder 12 grams,1/2 teaspoon salt 3 grams,1 cup dark chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/congo-bars/,1 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Kitchen Sink Cookies,Julie Clark,4.59, 77 ,15 minutes,10 minutes,NA,27,13,1 cup unsalted butter* (at room temperature),1 cup light brown sugar (7.5 Ounces),1/2 cup granulated sugar (3.5 Ounces),1 large egg**,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour (11.25 Ounces),1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/christmas-kitchen-sink-cookies/,1 teaspoon baking soda,3/4 cup mini baking M&Ms,1/2 cup white chocolate chips,1/2 cup coarsely crushed pretzels,1/2 cup coarsely crushed potato chips,1/4 cup Christmas sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornflake Wreath Cookies,Julie Clark,5, 1 ,15 minutes,3 minutes,NA,12,5,40 large marshmallows,1/4 cup salted butter* (softened),5 cups cornflakes,green food coloring,mini red M&M candies for decorating,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cornflake-wreath-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Oatmeal Cookies,Julie Clark,4.70, 10 ,15 minutes,10 minutes,25 minutes,24,15,For the cookies:,2 cups old fashioned oats (not quick cook oats),2 cups all purpose flour,1 tablespoon baking powder,½ teaspoon baking soda,½ teaspoon salt,2 teaspoon cinnamon,Tastes of Lizzy T,https://www.tastesoflizzyt.com/iced-oatmeal-cookies/,½ teaspoon nutmeg,1 cup unsalted butter,1 cup light brown sugar,½ cup granulated sugar,2 large eggs,1 teaspoon vanilla extract▢For the icing:,2 cups powdered sugar,2-5 tablespoons milk (start with 2 and add to desired consistency),NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Oatmeal Cookies,Julie Clark,4.80, 5 ,15 minutes,10 minutes,25 minutes,36,13,1 cup salted butter softened,1 cup packed brown sugar,1/2 cup white sugar,2 large eggs,1 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/white-chocolate-cranberry-oatmeal-cookies/,1/2 teaspoon salt,3 cups rolled oats,2 cups white chocolate chips,1 cup dried cranberries (or craisins),1/2 cup finely chopped macadamia nuts,1/2 cup white chocolate chips for drizzling tops of cookies optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Spritz Cookies,Julie Clark,4.75, 4 ,15 minutes,8 minutes,NA,48,6,2 cups unsalted butter (room temperature),1 cup granulated sugar,1 large egg,2 teaspoons almond extract,1 teaspoon salt,4 cups all-purpose flour (540 grams),NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/butter-spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Dipped Gingerbread Cookies,Julie Clark,5, 3 ,20 minutes,12 minutes,32 minutes,36,10,1 cup shortening,1 cup granulated sugar,1 cup unsulphured molasses,5 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon nutmeg,1 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-dipped-gingerbread-cookies/,3 teaspoons powdered ginger,1 bag semi-sweet chocolate chips if desired,1/2 cup white chocolate chips if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Cookies,Julie Clark,4.29, 7 ,20 minutes,15 minutes,NA,24,9,1/2 cup shortening,1/2 cup salted butter (at room temperature),1 cup sugar,1 large egg (at room temperature),1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1/2 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/candy-cane-cookies/,1 teaspoon red food coloring,"sprinkles, if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Almond Chocolate Cookies,Julie Clark,4.84, 6 ,10 minutes,13 minutes,24 minutes,24,12,1 cup unsalted butter (at room temperature),1 cup light brown sugar 7.5 Ounces,1/2 cup granulated sugar 3.5 Ounces,1 large egg,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour 11.25 Ounces,1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cranberry-almond-chocolate-cookies/,1 teaspoon baking soda,1 cup dried cranberries,1 cup dark chocolate chips divided,1/2 cup chopped almonds,sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Christmas Cookies,Julie Clark,4.92, 12 ,15 minutes,8 minutes,23 minutes,60,12,1 cup shortening or room temperature butter*,1 cup brown sugar packed,1 cup molasses,1 cup buttermilk,5 1/2 cups all-purpose flour,4 teaspoons baking soda,1 teaspoon ground ginger,Tastes of Lizzy T,https://www.tastesoflizzyt.com/soft-baked-gingerbread-cookies/,3/4 teaspoon ground cinnamon,1/4 teaspoon ground nutmeg,1/4 teaspoon ground cloves,1 teaspoons salt,1/2 cup extra granulated sugar for rolling dough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Buttercream Cookie Sandwiches,Julie Clark,4.32, 16 ,30 minutes,8 minutes,38 minutes,24,14,1 cup salted butter softened,4 large eggs beaten,2 cups brown sugar,2 teaspoons heavy cream,3 teaspoons baking soda,2 teaspoons cinnamon,2 teaspoons vanilla,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cinnamon-buttercream-cookie-sandwiches/,1/2 teaspoon salt,5 1/4 cups all-purpose flour▢Cinnamon Buttercream:,1 cup salted butter softened,1 teaspoon vanilla extract,1 tablespoon cinnamon,2 cups powdered sugar,3 tablespoons heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin White Chocolate Chip Cookies,Julie Clark,4.49, 33 ,10 minutes,9 minutes,19 minutes,18,12,1/4 cup brown sugar 53 grams,1/4 cup granulated sugar 50 grams,"1/2 cup salted butter softened, 4 ounces",1/2 cup pumpkin puree 130 grams,1/4 teaspoon salt,1/2 teaspoon ground cinnamon,1 teaspoon pumpkin pie spice 2 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-white-chocolate-chip-cookies/,1/2 teaspoon baking soda 2 grams,1 1/2 cups all-purpose flour 195 grams,1/2 cup white chocolate chips 90 grams,1/4 cup granulated sugar for flattening the cookies,Extra white chocolate chips for the tops of the cookies if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Apple Cookie Sandwiches,Julie Clark,4.64, 19 ,25 minutes,14 minutes,39 minutes,24,24,Apple Cinnamon Oatmeal Cookies,1 green apple peeled (finely diced),1 cup salted butter (room temperature),1 cup granulated sugar,1 cup brown sugar (packed),2 large eggs,1 1/2 teaspoons vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/caramel-apple-cookie-sandwiches/,2 1/2 cups all-purpose flour,1 tablespoon cornstarch,2 1/2 cup quick cook oats,2 teaspoon ground cinnamon,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon salt,1/2 teaspoon cloves,1/4 teaspoon nutmeg▢Brown Sugar and Cinnamon Buttercream,1 cup salted butter softened,1/2 cup light brown sugar packed,1 teaspoons ground cinnamon,4-6 cups powdered sugar,1 teaspoon vanilla extract,1/4 teaspoon salt,1/4 cup milk or half and half plus more if needed,salted caramel for drizzling
Malted Milk Chocolate Chip Cookie Sandwiches,Julie Clark,5, 3 ,20 minutes,12 minutes,32 minutes,36,14,2 3/4 cups all-purpose flour 358 grams,3/4 cup malted milk powder 84 grams,1 tablespoon cornstarch 9 grams,1/2 teaspoon baking soda 2 grams,1/4 teaspoon salt 1 gram,1 cup granulated sugar 200 grams,1/2 cup packed brown sugar 100 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/malted-milk-chocolate-chip-cookies-sandwiches-recipe/,1 cup salted butter (room temperature),2 large eggs,2 teaspoons vanilla extract 8 grams,2 tablespoons light corn syrup 40 grams,2 cups semi-sweet chocolate chips 300 grams,1/2 cup mini chocolate chips▢Optional:,vanilla ice cream (for making ice cream sandwiches),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Ice Cream Sandwiches,Julie Clark,4.67, 3 ,20 minutes,10 minutes,30 minutes,8,10,1/2 cup unsalted butter (room temperature),1 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1 ¾ cup all purpose flour,1 teaspoon cream of tartar,½ teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/funfetti-ice-cream-sandwiches/,½ teaspoon salt,½ cup sprinkles + more for decorating,3 cups vanilla ice cream*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakery Style Chocolate Chip Cookies,Julie Clark,4.69, 170 ,20 minutes,13 minutes,33 minutes,30,14,2 cups minus 2 tablespoons cake flour 228 grams,1 2/3 cups bread flour 217 grams,1 1/4 teaspoons baking soda 5 grams,1 1/2 teaspoons baking powder 6 grams,1 teaspoon salt 6 grams,1 1/4 cups salted butter softened 10 ounces,1 1/4 cups light brown sugar 275 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/bakery-style-chocolate-chip-cookies-recipe/,1 cup plus 2 tablespoons white granulated sugar 226 grams,2 large eggs,2 teaspoons vanilla extract 10 grams,1 cup shaved or finely chopped dark chocolate or mini chocolate chips – at least 60% cacao 146 grams,1 1/2 cups dark chocolate chips or semi-sweet if preferred 267 grams,1/4 cup white granulated sugar,sea salt for sprinkling on top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
